,country,year,sex,suicides_rate
587,Belgium,1991,male,203.35
588,Belgium,1992,female,67.08
589,Belgium,1992,male,198.8
590,Belgium,1993,female,69.57000000000001
591,Belgium,1993,male,230.90000000000003
592,Belgium,1994,female,67.01
593,Belgium,1994,male,233.39
594,Belgium,1995,female,68.94000000000001
595,Belgium,1995,male,216.96000000000004
596,Belgium,1996,female,61.620000000000005
597,Belgium,1996,male,205.92
598,Belgium,1997,female,64.6
599,Belgium,1997,male,220.14
600,Belgium,1998,female,61.739999999999995
601,Belgium,1998,male,203.0
602,Belgium,1999,female,53.43
603,Belgium,1999,male,177.27
604,Belgium,2000,female,65.69
605,Belgium,2000,male,202.11
606,Belgium,2001,female,62.64000000000001
607,Belgium,2001,male,198.58000000000004
608,Belgium,2002,female,59.14
609,Belgium,2002,male,188.72
610,Belgium,2003,female,57.89000000000001
611,Belgium,2003,male,190.84
612,Belgium,2004,female,54.86
613,Belgium,2004,male,176.20000000000002
614,Belgium,2005,female,55.17
615,Belgium,2005,male,176.58
616,Belgium,2006,female,53.709999999999994
617,Belgium,2006,male,161.19
618,Belgium,2007,female,52.83
619,Belgium,2007,male,155.73999999999998
620,Belgium,2008,female,54.46
621,Belgium,2008,male,167.08
622,Belgium,2009,female,53.65
623,Belgium,2009,male,164.70000000000002
624,Belgium,2010,female,53.89
625,Belgium,2010,male,166.29
626,Belgium,2011,female,57.65
627,Belgium,2011,male,169.06
628,Belgium,2012,female,50.84
629,Belgium,2012,male,166.29
630,Belgium,2013,female,50.66
631,Belgium,2013,male,150.89000000000001
632,Belgium,2014,female,52.84
633,Belgium,2014,male,149.01000000000002
634,Belgium,2015,female,52.21
635,Belgium,2015,male,144.45000000000002
636,Belize,1986,female,5.62
637,Belize,1986,male,13.75
638,Belize,1987,female,0.0
639,Belize,1987,male,31.41
640,Belize,1989,female,0.0
641,Belize,1989,male,5.16
642,Belize,1990,female,4.98
643,Belize,1990,male,24.72
644,Belize,1991,female,0.0
645,Belize,1991,male,23.93
646,Belize,1993,female,0.0
647,Belize,1993,male,6.49
648,Belize,1994,female,52.3
649,Belize,1994,male,112.43
650,Belize,1995,female,4.29
651,Belize,1995,male,139.67999999999998
652,Belize,1996,female,0.0
653,Belize,1996,male,61.290000000000006
654,Belize,1997,female,0.0
655,Belize,1997,male,5.77
656,Belize,1998,female,5.63
657,Belize,1998,male,76.14999999999999
658,Belize,1999,female,0.0
659,Belize,1999,male,83.71999999999998
660,Belize,2000,female,18.3
661,Belize,2000,male,142.50000000000003
662,Belize,2001,female,8.83
663,Belize,2001,male,142.87
664,Belize,2002,female,19.939999999999998
665,Belize,2002,male,49.68000000000001
666,Belize,2003,female,16.43
667,Belize,2003,male,42.57000000000001
668,Belize,2004,female,13.14
669,Belize,2004,male,104.24
670,Belize,2005,female,3.51
671,Belize,2005,male,42.59
672,Belize,2006,female,6.15
673,Belize,2006,male,31.77
674,Belize,2007,female,6.8100000000000005
675,Belize,2007,male,71.68
676,Belize,2008,female,4.14
677,Belize,2008,male,82.22000000000001
678,Belize,2009,female,13.45
679,Belize,2009,male,44.309999999999995
680,Belize,2010,female,6.09
681,Belize,2010,male,55.38999999999999
682,Belize,2011,female,14.78
683,Belize,2011,male,138.52
684,Belize,2012,female,5.77
685,Belize,2012,male,67.67999999999999
686,Belize,2013,female,2.81
687,Belize,2013,male,53.59
688,Belize,2014,female,16.779999999999998
689,Belize,2014,male,74.17
690,Belize,2015,female,15.13
691,Belize,2015,male,120.33000000000001
692,Bosnia and Herzegovina,2011,female,0.0
693,Bosnia and Herzegovina,2011,male,1.31
694,Bosnia and Herzegovina,2014,female,22.02
695,Bosnia and Herzegovina,2014,male,87.48
696,Brazil,1985,female,13.08
697,Brazil,1985,male,46.1
698,Brazil,1986,female,13.36
699,Brazil,1986,male,43.800000000000004
700,Brazil,1987,female,13.32
701,Brazil,1987,male,56.8
702,Brazil,1988,female,14.75
703,Brazil,1988,male,50.61
704,Brazil,1989,female,13.010000000000003
705,Brazil,1989,male,51.00999999999999
706,Brazil,1990,female,13.429999999999998
707,Brazil,1990,male,53.629999999999995
708,Brazil,1991,female,13.12
709,Brazil,1991,male,55.22
710,Brazil,1992,female,11.97
711,Brazil,1992,male,52.949999999999996
712,Brazil,1993,female,11.65
713,Brazil,1993,male,56.21
714,Brazil,1994,female,12.39
715,Brazil,1994,male,59.12
716,Brazil,1995,female,13.18
717,Brazil,1995,male,62.059999999999995
718,Brazil,1996,female,13.33
719,Brazil,1996,male,60.00000000000001
720,Brazil,1997,female,12.51
721,Brazil,1997,male,64.29
722,Brazil,1998,female,12.999999999999998
723,Brazil,1998,male,62.05
724,Brazil,1999,female,10.14
725,Brazil,1999,male,57.510000000000005
726,Brazil,2000,female,11.43
727,Brazil,2000,male,56.79999999999999
728,Brazil,2001,female,11.730000000000002
729,Brazil,2001,male,61.760000000000005
730,Brazil,2002,female,13.24
731,Brazil,2002,male,56.53000000000001
732,Brazil,2003,female,11.87
733,Brazil,2003,male,56.2
734,Brazil,2004,female,12.18
735,Brazil,2004,male,58.040000000000006
736,Brazil,2005,female,12.55
737,Brazil,2005,male,61.05
738,Brazil,2006,female,11.959999999999999
739,Brazil,2006,male,57.94
740,Brazil,2007,female,12.250000000000002
741,Brazil,2007,male,59.43
742,Brazil,2008,female,12.329999999999998
743,Brazil,2008,male,59.88
744,Brazil,2009,female,11.930000000000001
745,Brazil,2009,male,58.44
746,Brazil,2010,female,13.379999999999999
